_id,attribute_text,company_name,companyind_text,companysize_text,job_href,job_name,jobwelf,providesalary_text,updatedate
61c048af4de410b1db824fe8,合肥-蜀山区3-4年经验本科招2人,北京文因互联科技有限公司,互联网/电子商务,50-150人,https://jobs.51job.com/hefei-ssq/135893738.html?s=sou_sou_soulb&t=0_0,Python高级开发工程师_合肥,五险一金 项目奖金 带薪年假 周末双休 餐饮补贴 节日礼品 不打卡,1-1.8万/月,12-20
61c048af4de410b1db824fe9,广州-天河区3-4年经验本科招1人,广州市城建开发集团名特网络发展有限公司,计算机服务(系统、数据服务、维修),150-500人,https://jobs.51job.com/guangzhou-thq/128311542.html?s=sou_sou_soulb&t=0_0,GO开发工程师,五险一金 绩效奖金 定期体检,15-25万/年,12-20
61c048af4de410b1db824fea,重庆-沙坪坝区5-7年经验大专招2人,重庆圣特嘉科技有限公司,计算机软件,少于50人,https://jobs.51job.com/chongqing-spbq/130959009.html?s=sou_sou_soulb&t=0_0,Java架构师,,1-1.5万/月,12-20
61c048af4de410b1db824feb,长沙-芙蓉区3-4年经验本科招1人,华智生物技术有限公司,学术/科研,150-500人,https://jobs.51job.com/changsha-frq/131357012.html?s=sou_sou_soulb&t=0_0,AI开发工程师（python）,五险一金 交通补贴 餐饮补贴 通讯补贴 绩效奖金 年终奖金 定期体检 员工旅游,1-1.5万/月,12-20
61c048af4de410b1db824fec,开封3-4年经验大专招5人,优德控股集团有限公司,医疗设备/器械,1000-5000人,https://jobs.51job.com/kaifeng/124738372.html?s=sou_sou_soulb&t=0_0,Java开发工程师,五险一金 员工旅游 餐饮补贴,0.6-1.2万/月,12-20
61c048af4de410b1db824fed,成都-武侯区3-4年经验本科招1人,成都金洋高新技术开发有限公司,计算机软件,50-150人,https://jobs.51job.com/chengdu-whq/121699927.html?s=sou_sou_soulb&t=0_0,Java开发工程师,员工旅游 餐饮补贴 五险一金 交通补贴 弹性工作 孝顺金 周末双休 准时发薪,0.8-1万/月,12-20
61c048af4de410b1db824fee,武汉-洪山区3-4年经验本科招2人,武汉康圣达医学检验所有限公司,制药/生物工程,150-500人,https://jobs.51job.com/wuhan-hsq/128849146.html?s=sou_sou_soulb&t=0_0,JAVA开发工程师（武汉）,,0.9-1.4万/月,12-20
61c048af4de410b1db824fef,徐州2年经验大专招2人,新聚（徐州）安全科技有限公司,互联网/电子商务,50-150人,https://jobs.51job.com/xuzhou/119161681.html?s=sou_sou_soulb&t=0_0,Java开发工程师,五险一金 员工旅游 交通补贴 餐饮补贴 通讯补贴 年终奖金 定期体检,4.5-8千/月,12-20
61c048af4de410b1db824ff0,温州-鹿城区2年经验大专招3人,上海瀚世信息技术有限公司,计算机服务(系统、数据服务、维修),50-150人,https://jobs.51job.com/wenzhou-lcq/132121355.html?s=sou_sou_soulb&t=0_0,Java开发工程师,,1-1.5万/月,12-20
61c048af4de410b1db824ff1,合肥-经开区5-7年经验本科招3人,合肥嘉源锐信软件有限公司,计算机软件,150-500人,https://jobs.51job.com/hefei-jkq/109815303.html?s=sou_sou_soulb&t=0_0,高级软件工程师（JAVA）,五险一金 员工旅游 绩效奖金 定期体检 健身房 咖啡畅饮 员工宿舍 餐补,1-1.8万/月,12-20
