lineName,time,price,campony,upline,downline
北京通48路公交车路线,运行时间：兴惠艺术园区6:30-9:35、16:30-20:05|地铁东夏园站6:50-9:55、16:55-20:25,参考票价：10公里以内票价2元，每增加5公里以内加价1元。持卡乘车普通卡5折、学生卡2.5折优惠。,北京恒基客运有限公司(服务热线:010-69591016),兴惠艺术园区-北塘艺术区南门-小堡艺术东区-小堡环岛-小堡北街-小堡商业广场-小堡南街-小堡东口-通州宋庄-后夏公庄-前夏邢各庄-丁各庄-召里-后北营-北刘-地铁东夏园站,地铁东夏园站-北刘-后北营-召里-丁各庄-前夏邢各庄-后夏公庄-通州宋庄-小堡东口-小堡南街-小堡商业广场-小堡北街-小堡环岛-小堡艺术东区-北塘艺术区南门-兴惠艺术园区
北京通39路公交车路线,运行时间：大沙务8:00、9:00、15:00、16:00、17:00|通州于辛庄8:30、9:30、15:30、16:30、17:30,参考票价：10公里以内票价2元，每增加5公里以内加价1元。持卡乘车普通卡5折、学生卡2.5折优惠。,北京恒基客运有限公司(服务热线:010-69591016),大沙务-小沙务-大灰店-林屯村-西集卫生院-西集教科楼-西集镇-通州于辛庄,通州于辛庄-西集镇-西集教科楼-西集卫生院-林屯村-大灰店-小沙务-大沙务
北京通36路公交车路线,运行时间：大方居5:50-20:45|日光清城6:05-21:00,参考票价：10公里以内票价2元，每增加5公里以内加价1元。持卡乘车普通卡5折、学生卡2.5折优惠。,北京恒基客运有限公司(服务热线:010-69591016),大方居-大稿南站-大稿北站-通州半壁店新村-通州半壁店-北探小区-李老新村-新华联家园-日光清城,日光清城-新华联家园-李老新村-北探小区-通州半壁店-通州半壁店新村-大稿北站-大稿南站-大方居
北京通34路公交车路线,运行时间：太玉园公交场站5:50-9:30、16:00-19:40|地铁梨园站6:20-10:00、16:30-20:10,参考票价：10公里以内票价2元，每增加5公里以内加价1元。持卡乘车普通卡5折、学生卡2.5折优惠。,北京恒基客运有限公司(服务热线:010-69591016),太玉园公交场站-太玉园小区-太玉园北口-巨星桥北-土桥村-地铁土桥站-地铁临河里站(小街村南口)-通州小街桥东-地铁梨园站,地铁梨园站-通州小街桥东-地铁临河里站(小街村南口)-地铁土桥站-土桥村-巨星桥北-太玉园北口-太玉园小区-太玉园公交场站
北京通23路公交车路线,运行时间：渠头村6:30、8:30、15:30、17:30|永乐店镇7:30、9:30、16:30、18:30,参考票价：10公里以内票价2元，每增加5公里以内加价1元。持卡乘车普通卡5折、学生卡2.5折优惠。,北京恒基客运有限公司(服务热线:010-69591016),渠头村-通州富各庄-南三间房村-新通联合驾校-德仁务北口-永乐店镇粮库-西何各庄-东何各庄-小务路口-坚村-孔庄-通州张各庄-永乐店卫生院-永乐店镇,永乐店镇-永乐店卫生院-通州张各庄-孔庄-坚村-小务路口-东何各庄-西何各庄-永乐店镇粮库-德仁务北口-新通联合驾校-南三间房村-通州富各庄-渠头村
北京通23支公交车路线,运行时间：前马坊南站7:00、9:00、16:00、18:00|永乐店镇8:00、10:00、17:00、19:00,参考票价：10公里以内票价2元，每增加5公里以内加价1元。持卡乘车普通卡5折、学生卡2.5折优惠。,北京恒基客运有限公司(服务热线:010-69591016),前马坊南站-前马坊-后马坊-小务路口-坚村-孔庄-通州张各庄-永乐店卫生院-永乐店镇,永乐店镇-永乐店卫生院-通州张各庄-孔庄-坚村-小务路口-后马坊-前马坊-前马坊南站
北京通16路公交车路线,运行时间：吕家湾7:00、8:00、9:00、11:30、13:30、17:00、18:00|西集中学7:30、8:30、9:30、12:00、14:00、17:30、18:30,参考票价：10公里以内票价2元，每增加5公里以内加价1元。持卡乘车普通卡5折、学生卡2.5折优惠。,北京恒基客运有限公司(服务热线:010-69591016),吕家湾-和合站村-吕家湾西口-上坡村-南小庄-曹刘庄-西集中学,西集中学-曹刘庄-南小庄-上坡村-吕家湾西口-和合站村-吕家湾
北京T120路公交车路线,运行时间：地铁潞城站5:30-22:00|六合新村6:00-22:30,参考票价：10公里以内票价2元，每增加5公里以内加价1元。持卡乘车普通卡5折、学生卡2.5折优惠。最高票价2元。,北京公交集团第五客运分公司(服务热线:010-61502660),地铁潞城站-东夏园路口北-前北营-后北营-召里南-召里-丁各庄-前夏邢各庄-后夏公庄-通州宋庄-小堡村南口-通州六合新村,通州六合新村-小堡村南口-通州宋庄-后夏公庄-前夏邢各庄-丁各庄-召里-召里南-后北营-后北营南-前北营-地铁潞城站
北京T117路公交车路线,运行时间：云景南大街东口6:00-21:45|地铁九棵树站6:15-22:00,参考票价：10公里以内票价2元，每增加5公里以内加价1元。持卡乘车普通卡5折、学生卡2.5折优惠。最高票价2元。,北京公交集团第五客运分公司(服务热线:010-61502660),云景南大街东口-五所南路东口-五所南路-云景里北区-五所南路西口-云景西路北口-地铁九棵树站,地铁九棵树站-云景西路北口-五所南路西口-云景里北区-五所南路-五所南路东口-云景南大街东口
北京T111路公交车路线,运行时间：刘庄6:00-20:30|北京物资学院6:30-21:00,参考票价：10公里以内票价2元，每增加5公里以内加价1元。持卡乘车普通卡5折、学生卡2.5折优惠。最高票价2元。,北京公交集团第五客运分公司(服务热线:010-61502660),刘庄-惠兰美居小区-刘庄北站-金地格林小区-商通大道北-安顺北里-翠福园西口-源盛东街西口-天赐良园二期-北京物资学院,北京物资学院-天赐良园二期-源盛东街西口-翠福园西口-安顺北里-商通大道北-金地格林小区-刘庄北站-惠兰美居小区-刘庄
北京T115路公交车路线,运行时间：土桥公交场站6:10-21:10|地铁潞城站6:35-21:35,参考票价：10公里以内票价2元，每增加5公里以内加价1元。持卡乘车普通卡5折、学生卡2.5折优惠。最高票价2元。,北京公交集团第五客运分公司(服务热线:010-61502660),土桥公交场站-土桥中路-花石匠小区-花石匠小区东-通州杨坨南-地铁郝家府站-地铁东夏园站-地铁潞城站,地铁潞城站-地铁东夏园站-地铁郝家府站-通州杨坨-花石匠小区东-花石匠小区-土桥中路-土桥公交场站
北京T112路公交车路线,运行时间：地铁高楼金站6:00-9:00、17:00-20:00|通州杨坨桥西6:25-9:25、17:25-20:25 ,参考票价：10公里以内票价2元，每增加5公里以内加价1元。持卡乘车普通卡5折、学生卡2.5折优惠。最高票价2元。,北京公交集团第五客运分公司(服务热线:010-61502660),地铁高楼金站-颐瑞中二路南口-颐瑞中二路-地铁土桥站-临河里路南口-临河里路-临河里路北口-玉桥东里南门-玉桥东一路-玉桥东一路北口-京东运乔建材城-通州杨坨桥西,通州杨坨桥西-京东运乔建材城-玉桥东一路北口-玉桥东一路-玉桥东里南门-临河里路北口-临河里路-临河里路南口-地铁土桥站-颐瑞中二路-颐瑞中二路南口-地铁高楼金站
